Timesteps,Reward
10000,772.6661776784098
20000,1591.4894752498208
30000,1993.9995606207167
40000,4053.5593853107034
50000,5747.726602464639
60000,5756.991815397826
70000,7320.11784644079
80000,7859.200429497176
90000,8508.209321084072
100000,13071.62097153511
110000,9998.151368186851
120000,13055.09115102783
130000,12111.11441319965
140000,12364.789528271915
150000,12355.234614513916
160000,9186.754715261999
170000,16590.43252494165
180000,11852.944380221168
190000,9093.813698305219
200000,9045.497724108716
210000,15201.1678051318
220000,14051.655579921282
230000,12257.670080581132
240000,10720.312044715309
250000,10861.19317451022
260000,13417.295505157
270000,15728.52938912056
280000,11927.670175119923
290000,13306.534157222472
300000,14952.878862657744
